month,state_name,energy_requirement_mu,energy_availability_mu
2026-01,Andhra Pradesh,7421,7305
2026-01,Assam,1543,1520
2026-01,Bihar,4210,3980
2026-01,Chhattisgarh,3890,3850
2026-01,Delhi,2980,2955
2026-01,Goa,412,408
2026-01,Gujarat,9870,9720
2026-01,Haryana,4230,4150
2026-01,Himachal Pradesh,980,965
2026-01,Jharkhand,2340,-120
2026-01,Karnataka,7650,7480
2026-01,Kerala,3120,3080
2026-01,Madhya Pradesh,7890,7690
2026-01,Maharashtra,15230,14980
2026-01,Odisha,4560,4490
2026-01,Punjab,3980,3910
2026-01,Rajasthan,8210,8005
2026-01,Tamil Nadu,10230,9980
2026-01,Telangana,5670,5560
2026-01,Uttar Pradesh,16540,15980
2026-01,West Bengal,6210,6080
2026-02,Andhra Pradesh,7380,7290
2026-02,Assam,1560,1535
2026-02,Chhattisgarh,3910,3870
2026-02,Delhi,3010,2980
2026-02,Goa,420,415
2026-02,Gujarat,9920,9780
2026-02,Haryana,4260,4190
2026-02,Himachal Pradesh,995,978
2026-02,Jharkhand,2360,2310
2026-02,Karnataka,7690,7520
2026-02,Kerala,3150,3105
2026-02,Madhya Pradesh,7940,7735
2026-02,Maharashtra,15310,15040
2026-02,Odisha,4590,4520
2026-02,Punjab,4010,3945
2026-02,Rajasthan,8260,8050
2026-02,Tamil Nadu,10280,10015
2026-02,Telangana,5710,5595
2026-02,Uttar Pradesh,16610,16050
2026-02,West Bengal,6250,6120
2026-03,Andhra Pradesh,7455,7360
2026-03,Assam,1575,1548
2026-03,Bihar,4260,4020
2026-03,Chhattisgarh,3935,3890
2026-03,Delhi,999999,3010
2026-03,Goa,428,421
2026-03,Gujarat,9965,9810
2026-03,Haryana,4290,4215
2026-03,Himachal Pradesh,1005,988
2026-03,Jharkhand,2385,2330
2026-03,Karnataka,7735,7560
2026-03,Kerala,3180,3130
2026-03,Madhya Pradesh,7985,7770
2026-03,Maharashtra,15390,15100
2026-03,Orissa,4620,4550
2026-03,Punjab,4045,3975
2026-03,Rajasthan,8310,8095
2026-03,Tamil Nadu,10335,10060
2026-03,Telangana,5750,5630
2026-03,Uttar Pradesh,16680,16110
2026-03,West Bengal,6290,6155
